zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,A02650,A00200,N26270,A26270,N03210,A18425,A18300,A04800,N12000,A12000
62872,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62874,1,70,40,30,20,40,110,30,877,877,592,0,0,0,0,0,109,0,0
62874,2,40,30,0,0,40,80,30,1428,1428,1214,0,0,0,0,0,722,0,0
62874,3,40,0,30,0,0,100,30,2871,2871,2315,0,0,0,0,0,2056,0,0
62874,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62874,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62874,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62875,1,160,110,20,20,90,210,60,1892,1892,1250,0,0,0,0,0,235,20,30
62875,2,120,70,30,30,80,210,60,4409,4479,3291,0,0,0,0,0,2406,0,0
62875,3,90,30,60,0,60,200,50,5798,5798,4120,0,0,0,0,0,3889,0,0
62875,4,80,20,60,0,60,190,50,6816,6875,4781,0,0,0,0,0,5010,0,0
62875,5,80,0,70,0,70,230,70,11768,11938,7562,0,0,0,0,0,9576,0,0
62875,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62877,1,50,30,20,30,30,70,20,664,684,572,0,0,0,0,0,0,0,0
62877,2,60,30,0,0,30,100,30,2041,2041,1541,0,0,0,0,0,1227,0,0
62877,3,50,20,50,0,50,100,40,2991,2991,3480,0,0,0,0,0,2025,0,0
62877,4,20,0,0,0,0,60,0,1939,2003,0,0,0,0,0,0,1388,0,0
62877,5,40,0,40,0,40,100,20,5967,5967,3604,0,0,0,0,0,4863,0,0
62877,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62878,1,60,50,0,0,40,80,20,728,728,406,0,0,0,0,0,0,0,0
62878,2,30,0,50,0,30,100,50,1216,1250,783,0,0,0,0,0,663,0,0
62878,3,30,0,0,0,20,70,20,1615,1615,1292,0,0,0,0,0,1021,0,0
62878,4,30,0,30,0,20,90,30,3381,3381,2310,0,0,0,0,0,2554,0,0
62878,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62878,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62880,1,90,70,0,0,70,90,0,931,931,623,20,133,0,0,0,114,0,0
62880,2,80,40,40,0,60,150,60,2844,2915,2151,0,0,0,0,0,1442,0,0
62880,3,60,30,40,0,50,130,40,3561,3675,2341,0,0,0,0,0,2293,0,0
62880,4,50,0,40,0,40,120,40,3888,3888,2664,0,0,0,0,0,2764,0,0
62880,5,50,0,40,0,40,120,40,8064,8495,3143,0,0,0,0,0,6639,0,0
62880,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62881,1,1990,1350,290,310,1090,2710,780,23275,23478,18185,20,5,30,0,0,3642,70,12
62881,2,1270,650,350,240,770,2310,700,46587,47076,36707,30,18,60,0,138,24926,70,37
62881,3,730,250,400,70,460,1580,460,44995,45399,32878,30,-45,70,124,209,30360,70,54
62881,4,480,50,400,40,330,1260,390,41184,41628,30765,30,276,70,0,0,29838,50,44
62881,5,590,60,530,0,450,1630,510,77647,78498,51153,70,1295,90,295,500,62421,100,239
62881,6,100,0,80,0,90,260,80,35526,36106,13710,40,4649,0,821,396,31241,30,690
62882,1,420,250,70,90,220,710,270,5252,5327,3982,0,0,0,0,0,721,0,0
62882,2,280,110,90,70,160,570,210,10162,10272,8559,0,0,0,0,0,5248,0,0
62882,3,140,50,80,20,90,310,90,8596,8652,6637,0,0,0,0,0,5740,0,0
62882,4,80,0,60,0,60,190,50,6789,6859,4143,0,0,0,0,0,4882,0,0
62882,5,60,0,50,0,40,160,50,7147,7147,5187,0,0,0,0,0,5684,0,0
62882,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62883,1,90,70,0,0,50,80,0,1034,1075,551,0,0,0,0,0,138,0,0
62883,2,70,30,40,0,50,120,40,2377,2377,1767,0,0,0,0,0,1243,0,0
62883,3,60,30,30,0,40,130,40,3768,3793,2842,0,0,0,0,0,2577,0,0
